1801,,EA1B,C0,01,,,,,,SUBB,#$01,ADJUST OUT MODE 0 (WHY NOT DECB)
2104,,EC38,BD,ED,01,,,,,JSR,LED01,PAINT TOWARD MAX HORIZONTAL COORD
2105,,EC3B,86,01,,,,,,LDA,#$01,"SET UP/DN FLAG TO UP (1=UP, $FF=DOWN)"
2106,,EC3D,97,D7,,,,,,STA,VD7,SAVE IT
2107,,EC3F,BD,ED,2E,,,,,JSR,LED2E,SAVE POSITIVE GOING LINE INFO ON STACK
2108,,EC42,00,D7,,,,,,NEG,VD7,SET UP/DN FLAG TO $FF (DOWN)
2109,,EC44,BD,ED,2E,,,,,JSR,LED2E,SAVE NEGATIVE GOING LINE INFO ON STACK
2110,,EC47,10,DF,DC,,,,LEC47,STS,TMPSTK,TEMP STORE STACK POINTER
2111,,EC4A,0D,DB,,,,,LEC4A,TST,CHGFLG,SEE IF PAINTED COLOR IS DIFFERENT THAN THE ORIGINAL COLOR
2112,,EC4C,26,03,,,,,,BNE,LEC51,BRANCH IF DATA HAS BEEN MODIFIED
2113,,EC4E,10,DE,DC,,,,,LDS,TMPSTK,GET STACK POINTER BACK
2114,,EC51,35,56,,,,,LEC51,PULS,"A,B,X,U",GET DATA FOR NEXT LINE SEGMENT TO CHECK FROM THE STACK
2115,,EC53,0F,DB,,,,,,CLR,CHGFLG,CLEAR THE CHANGE FLAG
2116,,EC55,10,DF,DC,,,,,STS,TMPSTK,TEMP SAVE THE STACK ADDRESS
2117,,EC58,30,01,,,,,,LEAX,"$01,X",ADD ONE TO 'START HORIZONTAL COORD -1'
2118,,EC5A,9F,BD,,,,,,STX,HORBEG,PIT IT AT 'CURRENT HORIZONTAL COORD ADDRESS'
2119,,EC5C,DF,D1,,,,,,STU,VD1,SAVE LENGTH OF PARENT LINE
2120,,EC5E,97,D7,,,,,,STA,VD7,SAVE UP/DN FLAG
2121,,EC60,27,58,,,,,,BEQ,LECBA,EXIT ROUTINE IF UP/DN FLAG = 0
2122,,EC62,2B,06,,,,,,BMI,LEC6A,BRANCH IF UP/DN FLAG = DOWN
2123,,,,,,,,,* CHECK ONE LINE BELOW CURRENT DATA,,,
2124,,EC64,5C,,,,,,,INCB,,INCREMENT VERTICAL COORD
2125,,EC65,D1,D6,,,,,,CMPB,VD6,COMPARE TO MAXIMUM VERTICAL COORD
2126,,EC67,23,05,,,,,,BLS,LEC6E,BRANCH IF NOT GREATER - PROCESS LINE
2127,,EC69,5F,,,,,,,CLRB,,SET VERTICAL COORD TO ZERO TO FORCE WRAP AROUND
2128,,EC6A,5D,,,,,,LEC6A,TSTB,,CHECK VERTICAL COORD
2129,,EC6B,27,DD,,,,,,BEQ,LEC4A,PROCESS ANOTHER BLOCK OF PAINT DATA IF WRAP AROUND -
2130,,,,,,,,,,,,DISCARD ANY LINE BELOW VERTICAL COORD = 0 OR ABOVE MAX VER COORD
2131,,EC6D,5A,,,,,,,DECB,,DEC VERTICAL COORD
2132,,,,,,,,,* PROCESS A HORIZONTAL LINE THAT WAS STORED ON STACK - LIMIT CHECK HAVE BEEN DONE,,,
2133,,EC6E,D7,C0,,,,,LEC6E,STB,VERBEG+1,SAVE CURRENT VERTICAL COORD
2134,,EC70,BD,EC,BE,,,,,JSR,LECBE,PAINT FROM HORIZONTAL COORD TO ZERO OR BORDER
2135,,EC73,27,11,,,,,,BEQ,LEC86,BRANCH IF NO PIXELS WERE PAINTED
2136,,EC75,10,83,00,03,,,,CMPD,#3,SEE IF FEWER THAN 3 PIXELS WERE PAINTED
2137,,EC79,25,05,,,,,,BCS,LEC80,BRANCH IF NO NEED TO CHECK FOR PAINTABLE DATA
2138,,EC7B,30,1E,,,,,,LEAX,"$-02,X",MOVE HORIZONTAL COORD TWO PIXELS TO THE LEFT
2139,,EC7D,BD,ED,15,,,,,JSR,LED15,SAVE A BLOCK OF PAINT DATA IN THE DIRECTION OPPOSITE TO UP/DN FLAG
2140,,EC80,BD,ED,01,,,,LEC80,JSR,LED01,CONTINUE PAINTING LINE TO THE RIGHT
2141,,EC83,BD,ED,2E,,,,LEC83,JSR,LED2E,SAVE A BLOCK OF PAINT DATA IN THE SAME DIRECTION AS UP/DN FLAG
2142,,,,,,,,,* THIS CODE WILL INSURE THAT THE CURRENT LINE IS,,,
2143,,,,,,,,,* EXAMINED TO THE RIGHT FOR PAINTABLE PIXELS FOR A,,,
2144,,,,,,,,,* LINE EQUAL TO THE LENGTH OF THE PARENT LINE,,,
2145,,EC86,43,,,,,,LEC86,COMA,,*
2146,,EC87,53,,,,,,,COMB,,* COMPLEMENT LENGTH OF LINE JUST PAINTED
2147,,EC88,D3,D1,,,,,LEC88,ADDD,VD1,ADD TO LENGTH OF PARENT LINE
2148,,EC8A,DD,D1,,,,,,STD,VD1,SAVE DIFFERENCE OF LINE JUST PAINTED AND PARENT LINE
2149,,EC8C,2F,17,,,,,,BLE,LECA5,BRANCH IF PARENT LINE IS SHORTER
2150,,EC8E,BD,E9,B1,,,,,JSR,LE9B1,GO INCR HORIZONTAL COORD
2151,,EC91,BD,EC,F1,,,,,JSR,LECF1,CHECK FOR BORDER COLOR
2152,,EC94,26,05,,,,,,BNE,LEC9B,BRANCH IF NOT BORDER COLOR
2153,,EC96,CC,FF,FF,,,,,LDD,#-1,* GO DECREMENT ONE FROM LENGTH OF DIFFERENCE
2154,,EC99,20,ED,,,,,,BRA,LEC88,* LINE AND KEEP LOOKING FOR NON BORDER COLOR
2155,,EC9B,BD,E9,BF,,,,LEC9B,JSR,LE9BF,GET DECR HORIZONTAL COORD
2156,,EC9E,BD,ED,3A,,,,,JSR,LED3A,GET AND SAVE HORIZONTAL COORD
2157,,ECA1,8D,24,,,,,,BSR,LECC7,PAINT FORWARD TO MAX HORIZONTAL COORD OR BORDER
2158,,ECA3,20,DE,,,,,,BRA,LEC83,SAVE BLOCK OF PAINT DATA AND KEEP CHECKING
2159,,,,,,,,,*,,,
2160,,,,,,,,,* CHECK TO SEE IF THE CURRENT LINE EXTENDS FURTHER TO,,,
2161,,,,,,,,,* THE RIGHT THAN THE PARENT LINE AND PUT A BLOCK OF,,,
2162,,,,,,,,,* PAINT DATA ON THE STACK IF IT IS MORE THAN 2 PIXELS,,,
2163,,,,,,,,,* PAST THE END OF THE PARENT LINE,,,
2164,,ECA5,BD,E9,B1,,,,LECA5,JSR,LE9B1,INC CURRENT HORIZONTAL COORD
2165,,ECA8,30,8B,,,,,,LEAX,"D,X",POINT X TO THE RIGHT END OF THE PARENT LINE
2166,,ECAA,9F,BD,,,,,,STX,HORBEG,SAVE AS THE CURRENT HORIZONTAL COORDINATE
2167,,ECAC,43,,,,,,,COMA,,= ACCA CONTAINS A NEGATIVE NUMBER CORRESPONDING TO THE NUMBER
2168,,ECAD,53,,,,,,,COMB,,= OF PIXELS THE CURRENT LINE EXTENDS PAST THE RIGHT END
2169,,ECAE,83,00,01,,,,,SUBD,#1,= OF THE PARENT LINE. CONVERT TO POSITIVE NUMBER AND BRANCH
2170,,ECB1,2F,04,,,,,,BLE,LECB7,= IF THE LINE DOESN'T EXTEND PAST THE END OF THE PARENT.
2171,,ECB3,1F,01,,,,,,TFR,"D,X",SAVE PORTION OF THE LINE TO THE RIGHT OF THE PARENT LINE
2172,,,,,,,,,,,,AS THE LENGTH
2173,,ECB5,8D,5E,,,,,,BSR,LED15,SAVE BLOCK OF PAINT DATA IN THE DIRECTION OPPOSITE THE
2174,,,,,,,,,,,,CURRENT UP/DN FLAG
2175,,ECB7,7E,EC,4A,,,,LECB7,JMP,LEC4A,PROCESS MORE PAINT DATA BLOCKS
2176,,ECBA,BD,E0,FF,,,,LECBA,JSR,SELTASK0,ENABLE TASK REGISTER 0
2177,,ECBD,39,,,,,,,RTS,,
2178,,,,,,,,,,,,
2179,,,,,,,,,* PAINT FROM HORIZONTAL COORD TO ZERO OR HIT BORDER; RETURN WITH Z=1 IF NO PAINTING DONE,,,
2180,,ECBE,BD,ED,3A,,,,LECBE,JSR,LED3A,PUT STARTING COORD IN HOREND
2181,,ECC1,10,8E,E9,BF,,,,LDY,#LE9BF,ROUTINE TO DEC HORIZONTAL ADDRESS
2182,,ECC5,20,06,,,,,,BRA,LECCD,GO PAINT THE LINE
2183,,,,,,,,,* PAINT FROM HORIZONTAL COORD TO MAX HORIZONTAL COORD OR HIT BORDER; RETURN Z=1 IF NO PAINTING DONE,,,
2184,,ECC7,10,8E,E9,B1,,,LECC7,LDY,#LE9B1,ROUTINE TO INCR HORIZONTAL COORD
2185,,ECCB,AD,A4,,,,,,JSR,",Y",INCR HORIZONTAL COORD - LEFT PAINT ROUTINE PAINTED FIRST COORD
2186,,ECCD,DE,8A,,,,,LECCD,LDU,ZERO,ZERO INITIAL PIXEL PAINT COUNTER
2187,,ECCF,9E,BD,,,,,,LDX,HORBEG,GET HORIZONTAL COORD
2188,,ECD1,2B,17,,,,,LECD1,BMI,LECEA,BRANCH IF HORIZONTAL COORD IS > $7F OR < 0
2189,,ECD3,9C,D3,,,,,,CMPX,VD3,COMPARE CURRENT COORD TO MAX VALUE
2190,,ECD5,22,13,,,,,,BHI,LECEA,BRANCH IF > MAX
2191,,ECD7,34,60,,,,,,PSHS,"U,Y",SAVE PAINT COUNTER AND INC/DEC POINTER
2192,,ECD9,8D,16,,,,,,BSR,LECF1,CHECK FOR BORDER PIXEL
2193,,ECDB,27,0B,,,,,,BEQ,LECE8,BRANCH IF HIT BORDER
2194,,ECDD,BD,E7,92,,,,,JSR,LE792,SET PIXEL TO PAINT COLOR - PAINTING IS DONE HERE
2195,,ECE0,35,60,,,,,,PULS,"Y,U",RESTORE PAINT COUNTER AND INC/DEC POINTER
2196,,ECE2,33,41,,,,,,LEAU,"$01,U",ADD ONE TO PAINT COUNTER
2197,,ECE4,AD,A4,,,,,,JSR,",Y",INCR OR DECR HORIZONTAL COORD DEPENDING ON CONTENTS OF Y
2198,,ECE6,20,E9,,,,,,BRA,LECD1,KEEP PAINTING LINE
2199,,ECE8,35,60,,,,,LECE8,PULS,"Y,U",RESTORE PAINT COUNTER AND INC/DEC POINTER
2200,,ECEA,1F,30,,,,,LECEA,TFR,"U,D",SAVE PAINT COUNTER IN ACCD
2201,,ECEC,1F,01,,,,,,TFR,"D,X",ALSO SAVE IT IN X
2202,,ECEE,93,8A,,,,,,SUBD,ZERO,SET COUNTERS ACCORDING TO CONDITION OF PAINT COUNTER
2203,,ECF0,39,,,,,,,RTS,,
2204,,,,,,,,,* CHECK FOR BORDER COLOR - ENTER WITH VD9 CONTAINING,,,
2205,,,,,,,,,* ADDRESS OF ROUTINE TO GET ABSOLUTE SCREEN ADDRESS,,,
2206,,,,,,,,,* AND PIXEL MASK - EXIT WITH Z=1 IF HIT BORDER COLOR PIXEL,,,
2207,,ECF1,AD,9F,00,D9,,,LECF1,JSR,[VD9],GET SCREEN ADDRESS AND PIXEL MASK
2208,,ECF5,1F,89,,,,,,TFR,"A,B",COPY PIXEL MASK IN ACCB
2209,,ECF7,D4,D8,,,,,,ANDB,VD8,AND PIXEL MASK WITH BORDER COLOR
2210,,ECF9,34,06,,,,,,PSHS,"B,A",SAVE MASK AND BORDER PIXEL
2211,,ECFB,A4,84,,,,,,ANDA,",X",TEST THE PIXEL ON THE SCREEN
2212,,ECFD,A1,61,,,,,,CMPA,"$01,S",COMPARE WITH ACCB ON THE STACK
2213,,ECFF,35,86,,,,,,PULS,"A,B,PC",EXIT WITH Z FLAG=1 IF MATCH
2214,,,,,,,,,* GO HERE TO FINISH PAINTING TO RIGHT AFTER YOU HAVE PAINTED LEFT,,,
2215,,ED01,DD,CD,,,,,LED01,STD,VCD,SAVE NUMBER OF PIXELS PAINTED
2216,,ED03,10,9E,C3,,,,,LDY,HOREND,GET LAST HORIZONTAL START COORD
2217,,ED06,8D,32,,,,,,BSR,LED3A,SAVE CURRENT HORIZONTAL COORD - HOREND NOW CONTAINS COORDINATE
2218,,,,,,,,,,,,OF THE LEFT BORDER OF THIS HORIZONTAL LINE
2219,,ED08,10,9F,BD,,,,,STY,HORBEG,START PAINTING TO RIGHT FROM THE LEFT PAINT START COORD
2220,,ED0B,8D,BA,,,,,,BSR,LECC7,PAINT TOWARDS THE RIGHT
2221,,ED0D,9E,CD,,,,,,LDX,VCD,GET THE NUMBER OF PIXELS PAINTED WHEN GOING TOWARDS LEFT PIXELS
2222,,ED0F,30,8B,,,,,,LEAX,"D,X",ADD NUMBER OF PAINTED GOING TOWARD THE RIGHT
2223,,ED11,C3,00,01,,,,,ADDD,#1,ADD 1 TO PAINT COUNT TOWARD RIGHT - ACCD=LENGTH OF PAINTED LINE
2224,,ED14,39,,,,,,,RTS,,
2225,,,,,,,,,* BLOCKS OF DATA ARE STORED ON THE STACK SO THAT HPAINT,,,
2226,,,,,,,,,* CAN REMEMBER WHERE IT SHOULD GO BACK AND PAINT UP OR DOWN,,,
2227,,,,,,,,,* FROM THE CURRENT LINE IT IS PAINTING. THESE BLOCKS OF DATA,,,
2228,,,,,,,,,* REPRESENT HORIZONTAL LINES ABOVE OR BELOW THE CURRENT LINE,,,
2229,,,,,,,,,* BEING PAINTED AND REQUIRE SIX BYTES OF STORAGE ON THE STACK.,,,
2230,,,,,,,,,"* THE DATA ARE AS FOLLOWS: ,S=UP/DN FLAG; 1,S=VERTICAL COORD",,,
2231,,,,,,,,,"* OF LINE; 2 3,S=LEFT MOST HORIZONTAL COORD OF LINE; 4 5,S=LENGTH OF LINE",,,
2232,,,,,,,,,,,,
2233,,,,,,,,,* SAVE A BLOCK OF PAINT DATA FOR A LINE IN THE OPPOSITE DIRECTION OF THE CURREN UP/DN FLAG,,,
2234,,ED15,DD,CB,,,,,LED15,STD,VCB,SAVE NUMBER OF PIXELS PAINTED
2235,,ED17,35,20,,,,,,PULS,Y,GET RETURN ADDRESS IN Y
2236,,ED19,DC,BD,,,,,,LDD,HORBEG,GET HORIZONTAL START COORD
2237,,ED1B,34,16,,,,,,PSHS,"X,B,A",PUT ON STACK
2238,,ED1D,96,D7,,,,,,LDA,VD7,GET UP/DN FLAG
2239,,ED1F,40,,,,,,,NEGA,,REVERSE IT
2240,,ED20,D6,C0,,,,,LED20,LDB,VERBEG+1,GET VERTICAL START COORDINATE
2241,,ED22,34,06,,,,,,PSHS,"B,A",SAVE VERTICAL START COORD AND UP/DN FLAG
2242,,ED24,34,20,,,,,,PSHS,Y,PUT BACK RETURN ADDRESS
2243,,ED26,C6,06,,,,,,LDB,#$06,GET NUMBER OF FREE BYTES TO CHECK FOR
2244,,ED28,BD,ED,3F,,,,,JSR,LED3F,GO SEE IF THERE IS ENOUGH RAM
2245,,ED2B,DC,CB,,,,,,LDD,VCB,GET LENGTH OF RIGHT PAINTED LINE
2246,,ED2D,39,,,,,,,RTS,,
2247,,,,,,,,,,,,
2248,,,,,,,,,* SAVE A BLOCK OF PAINT DATA FOR A LINE IN THE SAME DIRECTION AS THE CURRENT UP/DN FLAG,,,
2249,,ED2E,DD,CB,,,,,LED2E,STD,VCB,SAVE THE LENGTH OF RIGHT HORIZONTAL PAINTED LINE
2250,,ED30,35,20,,,,,,PULS,Y,SAVE RETURN ADDRESS IN Y
2251,,ED32,DC,C3,,,,,,LDD,HOREND,GET HORIZONTAL START COORD
2252,,ED34,34,16,,,,,,PSHS,"X,B,A",SAVE START COORD AND LENGTH
2253,,ED36,96,D7,,,,,,LDA,VD7,GET UP/DN FLAG (1 OR -1)
2254,,ED38,20,E6,,,,,,BRA,LED20,SAVE THE PAINT DATA ON THE STACK
2255,,ED3A,9E,BD,,,,,LED3A,LDX,HORBEG,GET CURRENT HORIZONTAL COORD
2256,,ED3C,9F,C3,,,,,,STX,HOREND,SAVE IT
2257,,ED3E,39,,,,,,,RTS,,
2258,,,,,,,,,,,,
2259,,,,,,,,,* CHECK ACCB (ONLY 0-127) BYTES OF FREE RAM ON THE STACK,,,
2260,,ED3F,50,,,,,,LED3F,NEGB,,
2261,,ED40,32,E5,,,,,,LEAS,"B,S",MOVE THE STACK POINTER DOWN ACCB BYTES
2262,,ED42,11,8C,BF,F1,,,,CMPS,#TMPSTACK-($2000+14),COMPARE TO THE BOTTOM OF THE STACK AREA - THE 14 EXTRA BYTES ARE
2263,,,,,,,,,,,,GENERATED BY THE FACT THAT THE SEVEN INTERRUPT VECTORS ARE GOTTEN FROM
2264,,,,,,,,,,,,THE ROM BY THE GIME CHIP.  THE 14 BYTES IN RAM ARE UNUSED BY BASIC.
2265,,ED46,10,25,00,04,,,,LBCS,LED4E,'OM' ERROR IF PAST THE BOTTOM
2266,,ED4A,50,,,,,,,NEGB,,MAKE ACCB POSITIVE AGAIN
2267,,ED4B,32,E5,,,,,,LEAS,"B,S",PUT THE STACK POINTER BACK WHERE IT BELONGS
2268,,ED4D,39,,,,,,,RTS,,
2269,,ED4E,10,CE,DF,FD,,,LED4E,LDS,#TMPSTACK-2,PUT THE STACK POINTER AT THE TOP OF THE TEMPORARY STACK BUFFER
2270,,ED52,BD,E0,FF,,,,,JSR,SELTASK0,ENABLE TASK REGISTER 0
2271,,ED55,7E,AC,44,,,,,JMP,LAC44,GO DO AN 'OM' ERROR
2272,,,,,,,,,,,,
2273,,,,,,,,,* HBUFF,,,
2274,,,,,,,,,* THE HBUFF COMMAND WILL RESERVE SPACE IN THE HPUT/HGET BUFFER.  THERE MUST BE ENOUGH FREE RAM,,,
2275,,,,,,,,,* IN THE BUFFER FOR THE REQUESTED BUFFER SIZE AND A FIVE BYTE HEADER.  EACH BUFFER HAS A FIVE BYTE,,,
2276,,,,,,,,,* HEADER WHICH IS DESCRIBED AS FOLLOWS:,,,
2277,,,,,,,,,"* BYTES 0,1: ADDRESS OF THE NEXT HPUT/HGET BUFFER IN THE BUFFER SPACE.  IF ZERO, THERE ARE",,,
2278,,,,,,,,,"* NO MORE BUFFERS IN THE BUFFER SPACE.  IF $FFFF, THEN THERE ARE NO",,,
2279,,,,,,,,,* BUFFERS ALLOCATED AND THE ENTIRE BUFFER SPACE IS FREE.,,,
2280,,,,,,,,,"* BYTE 2: BUFFER NUMBER; BYTES 3,4: SIZE OF THE BUFFER",,,
2281,,,,,,,,,,,,
2282,,,,,,,,,* HBUFF,,,
2283,,ED58,BD,B7,3D,,,,HBUFF,JSR,LB73D,EVALUATE BUFFER NUMBER ARGUMENT; RETURN VALUE IN X
2284,,ED5B,10,21,12,A1,,,,LBRN,RAMLINK,RAM HOOK
2285,,ED5F,8C,00,FF,,,,,CMPX,#255,MAXIMUM OF 255 BUFFERS ALLOWED
2286,,ED62,10,22,C6,E4,,,,LBHI,ILLFUNC,ILLEGAL FUNCTION CALL ERROR IF BUFFER NUMBER > 255
2287,,ED66,9F,D1,,,,,,STX,VD1,SAVE THE BUFFER NUMBER
2288,,ED68,27,08,,,,,,BEQ,LED72,DON'T GET THE SIZE OF THE BUFFER IF BUFFER 0 SELECTED
2289,,ED6A,BD,B2,6D,,,,,JSR,SYNCOMMA,DO A SYNTAX CHECK FOR A COMMA
2290,,ED6D,BD,B7,3D,,,,,JSR,LB73D,EVALUATE THE BUFFER SIZE ARGUMENT
2291,,ED70,9F,D3,,,,,,STX,VD3,SAVE THE BUFFER SIZE
2292,,ED72,BD,E0,CB,,,,LED72,JSR,LE0CB,PUT BLOCK 6.4 INTO LOGICAL BLOCK 6 ($C000) OF TASK REGISTER 1
2293,,ED75,BD,E1,19,,,,,JSR,SELTASK1,ENABLE TASK REGISTER 1
2294,,ED78,DC,D1,,,,,,LDD,VD1,GET THE NEW BUFFER NUMBER
2295,,ED7A,5D,,,,,,,TSTB,,CHECK FOR BUFFER ZERO
2296,,ED7B,26,08,,,,,,BNE,LED85,BRANCH IF NOT BUFFER ZERO
2297,,ED7D,CC,FF,FF,,,,,LDD,#$FFFF,EMPTY BUFFER FLAG
2298,,ED80,FD,C0,00,,,,,STD,HRESBUFF,RESET BUFFER SPACE TO EMPTY
2299,,ED83,20,38,,,,,,BRA,LEDBD,EXIT COMMAND
2300,,ED85,10,8E,C0,00,,,LED85,LDY,#HRESBUFF,POINT TO THE START OF THE BUFFER SPACE
2301,,ED89,EC,A4,,,,,,LDD,",Y",GET THE FIRST TWO BYTES OF THE HEADER BLOCK (HB.ADDR)
2302,,ED8B,10,83,FF,FF,,,,CMPD,#$FFFF,IS THE BUFFER EMPTY?
2303,,ED8F,26,04,,,,,,BNE,LED95,NO; CHECK FOR FIRST EMPTY HEADER SPOT
2304,,ED91,8D,31,,,,,,BSR,LEDC4,CHECK FOR ENOUGH FREE RAM IN THE BUFFER SPACE FOR THIS BUFFER
2305,,ED93,20,1B,,,,,,BRA,LEDB0,
2306,,ED95,D6,D2,,,,,LED95,LDB,VD1+1,GET THE BUFFER NUMBER
2307,,ED97,E1,22,,,,,LED97,CMPB,"$02,Y",COMPARE TO THE BUFFER NUMBER OF THE CURRENT HEADER (HB.NUM)
2308,,ED99,27,37,,,,,,BEQ,LEDD2,RE-DIMENSIONED ARRAY (DD) ERROR IF THE SAME
2309,,ED9B,EE,A4,,,,,,LDU,",Y",GET THE ADDRESS OF THE NEXT BUFFER
2310,,ED9D,27,04,,,,,,BEQ,LEDA3,BRANCH IF THIS IS THE LAST HEADER
2311,,ED9F,1F,32,,,,,,TFR,"U,Y",POINT Y TO THE START OF THE NEXT BUFFER HEADER
2312,,EDA1,20,F4,,,,,,BRA,LED97,KEEP SEARCHING FOR THE LAST HEADER
2313,,EDA3,1F,23,,,,,LEDA3,TFR,"Y,U",SAVE THE START ADDRESS OF THE LAST HEADER IN U
2314,,EDA5,EC,23,,,,,,LDD,"$03,Y",GET THE SIZE OF THE LAST HEADER (HB.SIZE)
2315,,EDA7,31,25,,,,,,LEAY,"$05,Y",SKIP PAST THE HEADER DATA (HB.LEN)
2316,,EDA9,31,AB,,,,,,LEAY,"D,Y",NOW Y POINTS TOT THE START OF FREE BUFFER SPACE
2317,,EDAB,8D,17,,,,,,BSR,LEDC4,CHECK FOR ENOUGH FREE RAM IN THE BUFFER SPACE FOR THIS BUFFER
2318,,EDAD,10,AF,C4,,,,,STY,",U",SAVE THE ADDRESS OF THIS HEADER IN THE PREVIOUS HEADER
2319,,EDB0,CC,00,00,,,,LEDB0,LDD,#0,LAST ENTRY FLAG
2320,,EDB3,ED,A4,,,,,,STD,",Y",MAKE THIS HEADER THE LAST ENTRY
2321,,EDB5,D6,D2,,,,,,LDB,VD1+1,GET THE BUFFER NUMBER AND
2322,,EDB7,E7,22,,,,,,STB,"$02,Y",SAVE IT IN THE HEADER
2323,,EDB9,DC,D3,,,,,,LDD,VD3,GET THE SIZE OF THE BUFFER AND
2324,,EDBB,ED,23,,,,,,STD,"$03,Y",SAVE IT IN THE HEADER TOO
2325,,EDBD,BD,E0,FF,,,,LEDBD,JSR,SELTASK0,ENABLE TASK REGISTER 0
2326,,EDC0,BD,E0,97,,,,,JSR,SETMMU,RESET MMU REGISTERS
2327,,EDC3,39,,,,,,,RTS,,
2328,,EDC4,1F,21,,,,,LEDC4,TFR,"Y,X",USE X A TEMPORARY POINTER TO THE START OF BUFFER
2329,,EDC6,30,05,,,,,,LEAX,"$05,X",SKIP PAST THE HEADER
2330,,EDC8,DC,D3,,,,,,LDD,VD3,GET THE SIZE OF THE BUFFER AND
2331,,EDCA,30,8B,,,,,,LEAX,"D,X",ADD IT TO THE BUFFER POINTER WHICH NOW POINTS TO THE BUFFER END
2332,,EDCC,8C,DF,00,,,,,CMPX,#HRESBUFF+$1F00,PAST THE END OF THE BUFFER SPACE?
2333,,EDCF,22,05,,,,,,BHI,LEDD6,'OM' ERROR IF PAST END OF BUFFER SPACE
2334,,EDD1,39,,,,,,,RTS,,
2335,,EDD2,C6,12,,,,,LEDD2,LDB,#9*2,REDIMENSIONED ARRAY ERROR (DD)
2336,,EDD4,20,02,,,,,,BRA,LEDD8,
2337,,EDD6,C6,0C,,,,,LEDD6,LDB,#6*2,OUT OF MEMORY ERROR (OM)
2338,,EDD8,10,CE,DF,FD,,,LEDD8,LDS,#TMPSTACK-2,RESET THE STACK TO TEMPORARY LOCATON
2339,,EDDC,BD,E0,FF,,,,,JSR,SELTASK0,ENABLE TASK REGISTER 0
2340,,EDDF,BD,E0,97,,,,,JSR,SETMMU,RESET THE MMU REGISTERS
2341,,EDE2,7E,AC,46,,,,,JMP,LAC46,JUMP TO THE ERROR HANDLER
2342,,,,,,,,,,,,
2343,,,,,,,,,* HGET,,,
2344,,EDE5,8E,EE,C0,,,,HGET,LDX,#LEEC0,POINT X TO THE HGET MOVEMENT ROUTINE
2345,,EDE8,9F,D5,,,,,,STX,VD5,SAVE THE MOVEMENT ROUTINE ADDRESS
2346,,EDEA,5F,,,,,,,CLRB,,HGET FLAG
2347,,EDEB,20,07,,,,,,BRA,LEDF4,
2348,,,,,,,,,,,,
2349,,,,,,,,,* HPUT,,,
2350,,EDED,8E,EE,EF,,,,HPUT,LDX,#LEEEF,HPUT MOVEMENT ROUTINE ADDRESS
2351,,EDF0,9F,D5,,,,,,STX,VD5,SAVE THE MOVEMENT ROUTINE ADDRESS
2352,,EDF2,C6,01,,,,,,LDB,#$01,HPUT FLAG
2353,,EDF4,0D,E6,,,,,LEDF4,TST,HRMODE,IS THE HI-RES GRAPHICS MODE ENABLED?
2354,,EDF6,10,27,F8,F5,,,,LBEQ,LE6EF,'HR' ERROR IF NOT IN HI-RES MODE
2355,,EDFA,10,21,12,02,,,,LBRN,RAMLINK,RAM HOOK
2356,,EDFE,D7,D8,,,,,,STB,VD8,SAVE THE GET/PUT FLAG
2357,,EE00,81,40,,,,,,CMPA,#'@',"ALLOW HGET@, HPUT@ AS LEGAL SYNTAX"
2358,,EE02,26,02,,,,,,BNE,LEE06,BRANCH IF NOT @
2359,,EE04,9D,9F,,,,,,JSR,GETNCH,GET THE NEXT CHARACTER FROM BASIC'S INPUT LINE IF @ WAS THERE
2360,,EE06,BD,E9,E1,,,,LEE06,JSR,LE9E1,EVALUATE THE RECTANGLE BOUNDS
2361,,EE09,BD,B2,6D,,,,,JSR,SYNCOMMA,SYNTAX CHECK FOR COMMA
2362,,EE0C,BD,B7,0B,,,,,JSR,EVALEXPB,"EVALUATE EXPRESSION, RETURN VALUE IN ACCB"
2363,,EE0F,D7,D3,,,,,,STB,VD3,SAVE THE BUFFER NUMBER
2364,,EE11,0F,D4,,,,,,CLR,VD4,SET THE ACTION FLAG TO SHOW AN ACTION SPECIFIED
2365,,EE13,9D,A5,,,,,,JSR,GETCCH,GET BASIC'S CURRENT INPUT CHARACTER
2366,,EE15,27,21,,,,,,BEQ,LEE38,BRANCH IF END OF LINE - NO ACTION SPECIFIED
2367,,EE17,03,D4,,,,,,COM,VD4,SET THE ACTION FLAG TO SHOW THAT AN ACTION WAS SPECIFIED
2368,,EE19,BD,B2,6D,,,,,JSR,SYNCOMMA,SYNTAX CHECK FOR COMMA
2369,,EE1C,0D,D8,,,,,,TST,VD8,CHECK THE GET/PUT FLAG
2370,,EE1E,26,03,,,,,,BNE,LEE23,BRANCH IF PUT
2371,,EE20,16,C4,54,,,,,LBRA,LB277,'SYNTAX' ERROR - HGET MAY NOT SPECIFY AN ACTION
2372,,EE23,C6,05,,,,,LEE23,LDB,#$05,FIVE POSSIBLE ACTIONS
2373,,EE25,8E,EE,E0,,,,,LDX,#LEEE0,POINT TO THE ACTION ROUTINE ADDRESS
2374,,EE28,EE,81,,,,,LEE28,LDU,",X++",GET THE ACTION ROUTINE ADDRESS
2375,,EE2A,A1,80,,,,,,CMPA,",X+",COMPARE THE DESIRED ACTION TO THIS ROUTINE'S TOKEN
2376,,EE2C,27,06,,,,,,BEQ,LEE34,SEARCH NO MORE - A MATCH WAS FOUND
2377,,EE2E,5A,,,,,,,DECB,,DECREMENT COUNTER
